"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"tig00000001_0",11.2066262072158,0.199552167168944,0.342647987567359,0.582382428642501,0.560309114509369,0.705310910281353
"tig00000001_1",10840.2915982173,-0.211163488262964,0.0661368918380384,-3.19282449468716,0.00140888548130474,0.00264699696487557
"tig00000001_10",7146.82487484131,-1.31048963119676,0.0644034841311925,-20.3481170137821,4.82453830748022e-92,5.43857045570498e-91
"tig00000001_11",59404.5176254652,-0.824251994802875,0.0409023788404666,-20.1516884388984,2.60090105099776e-90,2.68759775269769e-89
"tig00000001_12",7020.63643927148,-0.0357547145233562,0.0584692674533985,-0.611512955106777,0.540860044400635,0.691408716553389
"tig00000001_13",212.68812401672,1.23738237612305,0.0961850951416685,12.8645958534485,7.12134210097886e-38,4.6476127395862e-37
"tig00000001_14",32.4568397237766,-0.384310596688056,0.515228952385206,-0.74590256411043,0.455726276207103,0.601170832443412
"tig00000001_15",4982.69438362963,-2.18126965777529,0.0977668696716761,-22.3109286929253,2.89424341049693e-110,3.98762425446243e-109
"tig00000001_16",1139.89813519378,-0.665897071240599,0.0770381063051333,-8.64373623883105,5.44040648400456e-18,2.40932287148773e-17
"tig00000001_17",18383.5723188743,0.283464034665659,0.0954619923089192,2.96939156421916,0.00298390103902248,0.00544123130645276
"tig00000001_18",1651.65475832265,3.25296528432887,0.0553493250669669,58.7715438335179,0,0
"tig00000001_19",4968.67748856853,-2.13148279638414,0.0573430665198634,-37.1707152362668,2.0291712455669e-302,8.38724114834318e-301
"tig00000001_2",1993.45714087466,-1.81500316199735,0.178166545111103,-10.1871154366581,2.26381732422343e-24,1.12285339281482e-23
"tig00000001_20",1034.22532689788,0.983964353671866,0.0594443097320189,16.5527088817698,1.53058018333279e-61,1.26527961822177e-60
"tig00000001_21",33.0112607998062,-1.1450259880677,0.264712036543506,-4.32555316720369,1.52149564195038e-05,3.37582754580768e-05
"tig00000001_22",3007.3780007016,-0.495561893720263,0.0691462854732435,-7.16686211455311,7.67362490757499e-13,2.64313746816472e-12
"tig00000001_23",18.7809929609273,-0.140477413802237,0.297020957603196,-0.472954551543488,0.636245604309079,0.744287310701187
"tig00000001_24",1622.43979818001,-1.62844920556064,0.0575903184079301,-28.2764403910017,6.73534243505184e-176,1.67036492389286e-174
"tig00000001_25",5454.14880387385,-0.330673302373295,0.0926173622254135,-3.57031656298413,0.000356550071314663,0.000713100142629327
"tig00000001_26",256.409541847906,-1.12912841634042,0.0940664176073073,-12.0035230963522,3.40487857575765e-33,1.9191133790634e-32
"tig00000001_27",354.25934418356,0.0725183715463565,0.126599793678437,0.57281587464947,0.566769369392214,0.705310910281353
"tig00000001_28",1377.83082862534,-1.87089613924027,0.0757439309188177,-24.7002778512445,1.06215647162649e-134,1.88153432116693e-133
"tig00000001_29",2870.40144351462,0.111311871956697,0.206395469843662,0.539313542303098,0.589670526090037,0.718159654434622
"tig00000001_3",12143.6786377666,0.371009160023717,0.0417530284703214,8.88580238646487,6.34610709768074e-19,2.91450844486079e-18
"tig00000001_30",2844.27729970216,-1.35761238897122,0.165215246624742,-8.21723428501003,2.08249985039067e-16,8.06968692026386e-16
"tig00000001_31",3221.57386544213,0.523198152600706,0.0802160161993593,6.5223652007401,6.92072532796105e-11,2.20043574530044e-10
"tig00000001_32",9985.31243447103,0.565154313134688,0.120671471936077,4.68341277409845,2.82137545622261e-06,7.2885532619084e-06
"tig00000001_33",225.134220468285,0.0448589964816017,0.135691431705622,0.33059564570681,0.740949935674036,0.805945544066495
"tig00000001_34",177.278770633801,-2.45076209398606,0.145494882365118,-16.8443181928276,1.15492392747047e-63,1.02293262147384e-62
"tig00000001_35",159.660135168994,-0.0380124811286896,0.0997710693740393,-0.380997030172962,0.703205452225486,0.792704327963275
"tig00000001_36",8.98264450268687,-0.665790617703772,0.425453603942029,-1.56489594055593,0.11760731069501,0.175702488267244
"tig00000001_37",1914.42568027134,0.39420650791125,0.175787486842045,2.24251745669171,0.0249279483652501,0.0406719157538291
"tig00000001_38",97.1914682345394,1.34809209491884,0.201540755943815,6.68893042802052,2.24807568350383e-11,7.33582591459143e-11
"tig00000001_39",4492.46719495491,0.152733677491508,0.0532492948182955,2.86827605910438,0.00412715251772905,0.00731095588854861
"tig00000001_4",32.813423523713,0.0405621010264671,0.234723121742369,0.172808288869759,0.862802121493398,0.884193909629598
"tig00000001_40",5541.85490719116,-2.64193457704562,0.211116548003429,-12.5141046593975,6.25087332665799e-36,3.87554146252795e-35
"tig00000001_41",1609.56111128672,0.426800558421706,0.124072595532912,3.43992608995185,0.0005818730650946,0.00114527396939255
"tig00000001_5",144.127870882337,-0.683730433390016,0.253040972484157,-2.70205424314366,0.00689125188280581,0.0119286350502144
"tig00000001_6",71.6860365910311,0.0877165833086819,0.142644933411406,0.614929540158965,0.53860125337878,0.691408716553389
"tig00000001_7",3712.00938751026,-0.709790934307362,0.0789789313155537,-8.98709215843211,2.53857744012984e-19,1.21070616375423e-18
"tig00000001_8",16932.517603598,-1.21949553669344,0.0778257003226826,-15.6695735680777,2.442123491974e-55,1.78131360591045e-54
"tig00000001_9",9567.61435167397,-2.24803086362218,0.0636104633766773,-35.3405830470089,1.39892340822886e-273,4.33666256550946e-272
