"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_01723",0,NA,NA,NA,NA,NA
"AENJPLPP_01724",0,NA,NA,NA,NA,NA
"AENJPLPP_01725",0,NA,NA,NA,NA,NA
"AENJPLPP_01726",0,NA,NA,NA,NA,NA
"AENJPLPP_01727",26.5567386365993,2.7647612361347,2.96151269140669,0.933563865573529,0.350528911987098,0.999399299569476
"AENJPLPP_01728",9.0093934770539,5.84429521443855,3.40517432088656,1.71629839288725,0.0861074423247717,0.79959027291245
"AENJPLPP_01729",0,NA,NA,NA,NA,NA
"AENJPLPP_01730",29.9994949551196,0.573491764577751,2.63720730202637,0.217461768795003,NA,NA
"AENJPLPP_01731",0,NA,NA,NA,NA,NA
"AENJPLPP_01732",0,NA,NA,NA,NA,NA
"AENJPLPP_01733",47.5669458326089,-0.431841508480421,2.63399432813042,-0.163949293234407,0.869771061683266,0.999399299569476
"AENJPLPP_01734",37.2567307563646,1.04428117018984,2.29573348854662,0.454879094372123,0.649196223685185,0.999399299569476
"AENJPLPP_01735",14.0225536328384,-0.109497740354162,3.0098502185257,-0.0363797971341567,0.970979523066096,0.999399299569476
"AENJPLPP_01736",1.56186250571356,4.30903305327285,3.93602748305237,1.09476701365185,0.273618721253293,0.997796443188681
"AENJPLPP_01737",6.555117768139,6.37990511207728,3.72219190625523,1.7140183184418,0.0865253616233973,0.79959027291245
"AENJPLPP_01738",0,NA,NA,NA,NA,NA
"AENJPLPP_01739",0,NA,NA,NA,NA,NA
"AENJPLPP_01740",0,NA,NA,NA,NA,NA
"AENJPLPP_01741",0,NA,NA,NA,NA,NA
"AENJPLPP_01742",391.955051048971,-0.00295386798393971,2.39859663320097,-0.00123149842831127,0.999017406665762,0.999399299569476
"AENJPLPP_01743",0.156074232574738,1.22879329931982,4.0804728567969,0.301139927269213,0.763307795727942,0.999399299569476
"AENJPLPP_01744",0,NA,NA,NA,NA,NA
"AENJPLPP_01745",0,NA,NA,NA,NA,NA
"AENJPLPP_01746",0,NA,NA,NA,NA,NA
"AENJPLPP_01747",95.5471267340257,2.34768048289103,2.25406123718449,1.04153358576162,0.297627974070423,0.999399299569476
"AENJPLPP_01748",0,NA,NA,NA,NA,NA
"AENJPLPP_01749",0.446560850553102,1.18478982571022,4.03559030090369,0.293585259495968,0.769074840879829,0.999399299569476
"AENJPLPP_01750",40.4487969591254,0.142654478912494,2.39765121322481,0.0594975941978757,0.952555781636487,0.999399299569476
"AENJPLPP_01751",0,NA,NA,NA,NA,NA
"AENJPLPP_01752",27.6336226026504,-1.82787709774599,2.98502245355494,-0.612349530426187,0.540306525851688,0.999399299569476
"AENJPLPP_01753",4.69879317180826,-3.01277804875298,3.50395360368578,-0.859822471845479,0.389886909971371,0.999399299569476
"AENJPLPP_01754",19.2853772801188,3.97858265081225,2.60622880069239,1.52656691145277,0.126868740176141,0.79959027291245
"AENJPLPP_01755",0,NA,NA,NA,NA,NA
"AENJPLPP_01756",0,NA,NA,NA,NA,NA
"AENJPLPP_01757",18.2316063708392,-1.46618924098515,2.30313192381824,-0.636606711852803,0.524381052190865,0.999399299569476
"AENJPLPP_01758",0,NA,NA,NA,NA,NA
"AENJPLPP_01759",0,NA,NA,NA,NA,NA
"AENJPLPP_01760",0,NA,NA,NA,NA,NA
"AENJPLPP_01761",0,NA,NA,NA,NA,NA
"AENJPLPP_01762",29.7354539804182,3.56380130682155,2.66789313506081,1.33581111626509,NA,NA
"AENJPLPP_01763",19.6276885956035,0.519143781183859,2.61886052836652,0.19823269531183,0.842863007877431,0.999399299569476
"AENJPLPP_01764",875.944153190509,0.448022550075154,1.88810299659372,0.237287134697324,0.812434042156239,0.999399299569476
"AENJPLPP_01765",0,NA,NA,NA,NA,NA
"AENJPLPP_01766",9.22808612767979,6.87287185167523,3.21784446468432,2.13586204277573,0.0326906602592131,0.74182652126676
"AENJPLPP_01767",45.3059894504482,0.555501113533138,2.70711083369752,0.205200727882428,0.837415300777207,0.999399299569476
"AENJPLPP_01768",18.835755565703,-0.39797090467867,2.73646689141039,-0.145432384337584,0.884369497455233,0.999399299569476
"AENJPLPP_01769",48.7625714969863,-0.0386076749894465,2.29190707204244,-0.0168452183163959,0.986560096005951,0.999399299569476
"AENJPLPP_01770",0,NA,NA,NA,NA,NA
"AENJPLPP_01771",0,NA,NA,NA,NA,NA
"AENJPLPP_01772",0,NA,NA,NA,NA,NA
"AENJPLPP_01773",0,NA,NA,NA,NA,NA
