"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_00001",92.4352886573451,0.425738091187887,0.201479225129898,2.1130619840006,0.0345954629596648,0.0483245850243254
"AENJPLPP_00003",881.689584099376,-0.747686520050297,0.0454143106774887,-16.4636765128952,6.69100931918538e-61,4.39215927640644e-60
"AENJPLPP_00004",198.689648168181,-0.762214813947146,0.136094214536574,-5.60064082475973,2.1356083006396e-08,4.45917381138401e-08
"AENJPLPP_00005",849.418612485896,0.198311247532476,0.106799623927982,1.85685342549711,0.0633320103417277,0.0852633365324511
"AENJPLPP_00006",607.449812293969,0.429392661769123,0.161285916633902,2.66230722886852,0.00776070078605226,0.0115814717525386
"AENJPLPP_00007",376.190179229517,0.424392991776556,0.0886053401698744,4.78969993188794,1.67030901378556e-06,3.1993903741487e-06
"AENJPLPP_00008",43.0705751969983,-0.365905335026477,0.303379205862118,-1.20609892819344,0.227779348078401,0.281616403676743
"AENJPLPP_00009",83.4556100799281,-0.00980409925387675,0.144307771269252,-0.0679388169302685,0.945834338679367,0.958559994093822
"AENJPLPP_00010",8172.17565856569,0.681697543852312,0.0722461640543108,9.43576109231002,3.88165855152664e-21,1.2389234338718e-20
"AENJPLPP_00011",988.827123309711,-0.21261965651822,0.0536297610002877,-3.96458333120447,7.35242596576512e-05,0.000128347968915703
"AENJPLPP_00012",570.853661987712,0.589406097496338,0.0566390940775212,10.4063475430879,2.31950822617654e-25,8.25109596867757e-25
"AENJPLPP_00013",624.0640867688,0.722174003591559,0.0581819747343361,12.4123322882915,2.24030348469362e-35,9.91194478617015e-35
"AENJPLPP_00014",987.93696979404,0.651796501367883,0.0846687099651121,7.69819809037432,1.37998329265655e-14,3.61241499632858e-14
"AENJPLPP_00015",4035.78426495015,0.761654197894487,0.103922058030068,7.32909078527023,2.31719382166442e-13,5.83754597380844e-13
"AENJPLPP_00016",16374.4909092688,0.0943363515291303,0.0545004395784488,1.73092826881407,0.0834645589719727,0.110443002276045
"AENJPLPP_00017",2.85541034413153,-0.651197917893451,0.865782840340982,-0.752149254467762,0.451961306527741,0.521347402973998
"AENJPLPP_00018",41.1621413773394,1.3265731435122,0.178617181824079,7.42690669489313,1.11166718405922e-13,2.82654280638855e-13
"AENJPLPP_00019",0,NA,NA,NA,NA,NA
"AENJPLPP_00020",2.51811720695873,-0.977915973181464,1.2834855986341,-0.76192204588986,0.44610653134064,0.515778579788698
"AENJPLPP_00021",157.945322693387,-0.216870767208311,0.140307846531966,-1.54567811115897,0.12218232615498,0.157524753403918
"AENJPLPP_00022",2670.69312012406,3.36731001137711,0.168172727555982,20.0229255974705,3.4769322687095e-89,3.10860442896787e-88
"AENJPLPP_00023",11.4128993289497,0.150779800391764,0.368143311893412,0.409568218464389,0.682122714671569,0.737701270389604
